Date,Open,High,Low,Close,Adj Close,Volume
2022-02-11,119.000000,120.000000,118.000000,119.000000,119.000000,1184100
2022-02-14,119.000000,120.000000,117.000000,118.000000,118.000000,1301200
2022-02-15,115.000000,120.000000,115.000000,119.000000,119.000000,1763200
2022-02-16,118.000000,121.000000,117.000000,118.000000,118.000000,3477700
2022-02-17,118.000000,124.000000,116.000000,118.000000,118.000000,20639300
2022-02-18,118.000000,120.000000,116.000000,118.000000,118.000000,6038200
2022-02-21,118.000000,119.000000,117.000000,119.000000,119.000000,1684500
2022-02-22,119.000000,120.000000,117.000000,119.000000,119.000000,1977200
2022-02-23,119.000000,119.000000,116.000000,118.000000,118.000000,3945500
2022-02-24,117.000000,118.000000,110.000000,115.000000,115.000000,6078900
2022-02-25,112.000000,115.000000,112.000000,115.000000,115.000000,751000
2022-03-01,116.000000,120.000000,114.000000,120.000000,120.000000,2286400
2022-03-02,115.000000,121.000000,112.000000,116.000000,116.000000,5274800
2022-03-04,115.000000,117.000000,112.000000,114.000000,114.000000,1065200
2022-03-07,112.000000,116.000000,111.000000,112.000000,112.000000,1787700
2022-03-08,110.000000,116.000000,110.000000,116.000000,116.000000,1960900
2022-03-09,113.000000,117.000000,113.000000,116.000000,116.000000,1417200
2022-03-10,108.000000,117.000000,108.000000,113.000000,113.000000,680900
2022-03-11,112.000000,114.000000,110.000000,114.000000,114.000000,823800
2022-03-14,114.000000,114.000000,114.000000,114.000000,114.000000,0
2022-03-15,112.000000,114.000000,110.000000,112.000000,112.000000,954200
2022-03-16,110.000000,116.000000,110.000000,112.000000,112.000000,1444600
2022-03-17,112.000000,112.000000,110.000000,111.000000,111.000000,501300
2022-03-18,110.000000,112.000000,105.000000,108.000000,108.000000,3766600
2022-03-21,109.000000,110.000000,105.000000,107.000000,107.000000,1281400
2022-03-22,107.000000,110.000000,106.000000,107.000000,107.000000,1147900
2022-03-23,108.000000,108.000000,106.000000,107.000000,107.000000,265100
2022-03-24,107.000000,108.000000,100.000000,100.000000,100.000000,7694600
2022-03-25,103.000000,103.000000,94.000000,100.000000,100.000000,6452600
2022-03-28,100.000000,106.000000,98.000000,100.000000,100.000000,4695200
2022-03-29,93.000000,103.000000,93.000000,99.000000,99.000000,1721900
2022-03-30,94.000000,103.000000,94.000000,100.000000,100.000000,4056200
2022-03-31,93.000000,101.000000,93.000000,99.000000,99.000000,1421500
2022-04-01,94.000000,99.000000,94.000000,97.000000,97.000000,1224300
2022-04-04,98.000000,98.000000,95.000000,97.000000,97.000000,276700
2022-04-05,97.000000,101.000000,95.000000,96.000000,96.000000,1184400
2022-04-06,97.000000,97.000000,96.000000,96.000000,96.000000,955200
2022-04-07,96.000000,104.000000,96.000000,103.000000,103.000000,1643400
