Date,Open,High,Low,Close,Adj Close,Volume
2022-03-15,1190.0,1190.0,1125.0,1125.0,1054.5556640625,6950100
2022-03-16,1115.0,1175.0,1110.0,1160.0,1087.364013671875,5870200
2022-03-17,1170.0,1175.0,1145.0,1145.0,1073.3033447265625,1937300
2022-03-18,1145.0,1155.0,1090.0,1090.0,1021.7472534179688,2301000
2022-03-21,1120.0,1135.0,1065.0,1100.0,1031.12109375,2859200
2022-03-22,1110.0,1145.0,1100.0,1135.0,1063.929443359375,11083500
2022-03-23,1135.0,1160.0,1120.0,1130.0,1059.2425537109375,9217200
2022-03-24,1140.0,1145.0,1115.0,1130.0,1059.2425537109375,9423200
2022-03-25,1125.0,1140.0,1115.0,1120.0,1049.8687744140625,9508700
2022-03-28,1120.0,1160.0,1120.0,1155.0,1082.6771240234375,14786100
2022-03-29,1165.0,1165.0,1120.0,1145.0,1073.3033447265625,5314500
2022-03-30,1125.0,1140.0,1080.0,1090.0,1021.7472534179688,3381900
2022-03-31,1065.0,1095.0,1065.0,1065.0,998.3126831054688,7381600
2022-04-01,1070.0,1105.0,1070.0,1090.0,1021.7472534179688,10479900
2022-04-04,1090.0,1150.0,1080.0,1150.0,1077.990234375,16723400
2022-04-05,1150.0,1170.0,1130.0,1140.0,1068.616455078125,7801100
2022-04-06,1150.0,1170.0,1135.0,1135.0,1063.929443359375,8277300
2022-04-07,1140.0,1160.0,1125.0,1125.0,1054.5556640625,5787400
2022-04-08,1130.0,1160.0,1125.0,1145.0,1073.3033447265625,11721700
2022-04-11,1150.0,1170.0,1100.0,1105.0,1035.8079833984375,4921300
2022-04-12,1100.0,1150.0,1090.0,1145.0,1073.3033447265625,10492800
2022-04-13,1145.0,1195.0,1120.0,1135.0,1063.929443359375,6987900
2022-04-14,1135.0,1150.0,1120.0,1125.0,1054.5556640625,8044100
2022-04-18,1125.0,1170.0,1125.0,1160.0,1087.364013671875,13579200
2022-04-19,1175.0,1180.0,1130.0,1160.0,1087.364013671875,9334300
2022-04-20,1160.0,1175.0,1140.0,1150.0,1077.990234375,8032000
2022-04-21,1150.0,1165.0,1125.0,1140.0,1068.616455078125,6721900
