Date,Open,High,Low,Close,Adj Close,Volume
2022-03-21,1120.0,1135.0,1065.0,1100.0,1031.12109375,2859200
2022-03-22,1110.0,1145.0,1100.0,1135.0,1063.929443359375,11083500
2022-03-23,1135.0,1160.0,1120.0,1130.0,1059.2425537109375,9217200
2022-03-24,1140.0,1145.0,1115.0,1130.0,1059.2425537109375,9423200
2022-03-25,1125.0,1140.0,1115.0,1120.0,1049.8687744140625,9508700
2022-03-28,1120.0,1160.0,1120.0,1155.0,1082.6771240234375,14786100
2022-03-29,1165.0,1165.0,1120.0,1145.0,1073.3033447265625,5314500
2022-03-30,1125.0,1140.0,1080.0,1090.0,1021.7472534179688,3381900
2022-03-31,1065.0,1095.0,1065.0,1065.0,998.3126831054688,7381600
2022-04-01,1070.0,1105.0,1070.0,1090.0,1021.7472534179688,10479900
2022-04-04,1090.0,1150.0,1080.0,1150.0,1077.990234375,16723400
2022-04-05,1150.0,1170.0,1130.0,1140.0,1068.616455078125,7801100
2022-04-06,1150.0,1170.0,1135.0,1135.0,1063.929443359375,8277300
2022-04-07,1140.0,1160.0,1125.0,1125.0,1054.5556640625,5787400
2022-04-08,1130.0,1160.0,1125.0,1145.0,1073.3033447265625,11721700
2022-04-11,1150.0,1170.0,1100.0,1105.0,1035.8079833984375,4921300
2022-04-12,1100.0,1150.0,1090.0,1145.0,1073.3033447265625,10492800
2022-04-13,1145.0,1195.0,1120.0,1135.0,1063.929443359375,6987900
2022-04-14,1135.0,1150.0,1120.0,1125.0,1054.5556640625,8044100
2022-04-18,1125.0,1170.0,1125.0,1160.0,1087.364013671875,13579200
2022-04-19,1175.0,1180.0,1130.0,1160.0,1087.364013671875,9334300
2022-04-20,1160.0,1175.0,1140.0,1150.0,1077.990234375,8032000
2022-04-21,1150.0,1165.0,1125.0,1140.0,1068.616455078125,6721900
2022-04-22,1135.0,1135.0,1110.0,1120.0,1049.8687744140625,3894800
2022-04-25,1120.0,1120.0,1045.0,1050.0,984.251953125,10680800
2022-04-26,1050.0,1080.0,1040.0,1080.0,1012.3734130859375,9686100
2022-04-27,1100.0,1105.0,1070.0,1085.0,1017.0603637695312,7879700
2022-04-28,1075.0,1080.0,1035.0,1065.0,998.3126831054688,7390000
2022-05-09,1050.0,1080.0,1020.0,1065.0,998.3126831054688,7099900
2022-05-10,1065.0,1080.0,1010.0,1050.0,984.251953125,10151400
2022-05-11,1050.0,1090.0,1030.0,1080.0,1012.3734130859375,9296800
2022-05-12,1085.0,1090.0,1035.0,1040.0,974.8781127929688,6890700
2022-05-13,1040.0,1065.0,1030.0,1060.0,993.6257934570312,9799500
2022-05-17,1060.0,1100.0,1040.0,1095.0,1026.4342041015625,9987700
2022-05-18,1095.0,1110.0,1070.0,1090.0,1021.7472534179688,6576400
2022-05-19,1125.0,1160.0,1070.0,1150.0,1077.990234375,15195000
2022-05-20,1160.0,1205.0,1160.0,1180.0,1106.1116943359375,11761900
2022-05-23,1170.0,1220.0,1170.0,1180.0,1106.1116943359375,14494300
2022-05-24,1180.0,1240.0,1175.0,1220.0,1143.6070556640625,12157200
2022-05-25,1230.0,1265.0,1220.0,1260.0,1181.102294921875,15978200
2022-05-27,1260.0,1280.0,1210.0,1260.0,1181.102294921875,11856300
2022-05-30,1270.0,1270.0,1235.0,1240.0,1162.354736328125,5445000
2022-05-31,1240.0,1320.0,1240.0,1320.0,1237.3453369140625,16627000
2022-06-02,1325.0,1325.0,1250.0,1280.0,1199.8499755859375,11217600
2022-06-03,1210.0,1245.0,1200.0,1210.0,1210.0,8798200
2022-06-06,1210.0,1250.0,1210.0,1240.0,1240.0,13082000
2022-06-07,1235.0,1265.0,1220.0,1225.0,1225.0,8109300
2022-06-08,1225.0,1245.0,1205.0,1245.0,1245.0,8424600
2022-06-09,1250.0,1250.0,1200.0,1200.0,1200.0,5148300
2022-06-10,1190.0,1210.0,1170.0,1170.0,1170.0,3877300
2022-06-13,1150.0,1170.0,1110.0,1115.0,1115.0,5625600
2022-06-14,1110.0,1150.0,1110.0,1135.0,1135.0,7427600
2022-06-15,1145.0,1145.0,1080.0,1115.0,1115.0,3809900
2022-06-16,1115.0,1125.0,1085.0,1100.0,1100.0,6017400
2022-06-17,1100.0,1100.0,1060.0,1100.0,1100.0,6631600
2022-06-20,1090.0,1100.0,1045.0,1085.0,1085.0,6439200
2022-06-21,1085.0,1085.0,1045.0,1080.0,1080.0,7456500
2022-06-22,1085.0,1100.0,1065.0,1090.0,1090.0,7593200
2022-06-23,1090.0,1090.0,1030.0,1055.0,1055.0,6023400
2022-06-24,1070.0,1160.0,1070.0,1155.0,1155.0,15459500
2022-06-27,1180.0,1180.0,1120.0,1150.0,1150.0,10261000
2022-06-28,1185.0,1200.0,1150.0,1200.0,1200.0,16557000
2022-06-29,1200.0,1225.0,1185.0,1210.0,1210.0,13164200
2022-06-30,1210.0,1220.0,1180.0,1210.0,1210.0,11395600
2022-07-01,1220.0,1250.0,1190.0,1190.0,1190.0,11943100
2022-07-04,1190.0,1190.0,1130.0,1175.0,1175.0,9733300
2022-07-05,1175.0,1185.0,1145.0,1180.0,1180.0,8109900
2022-07-06,1180.0,1180.0,1135.0,1175.0,1175.0,9538800
2022-07-07,1170.0,1225.0,1150.0,1220.0,1220.0,10599600
2022-07-08,1240.0,1270.0,1220.0,1265.0,1265.0,13333300
2022-07-11,1270.0,1295.0,1265.0,1290.0,1290.0,8549200
2022-07-12,1300.0,1305.0,1270.0,1300.0,1300.0,11036700
2022-07-13,1300.0,1320.0,1290.0,1315.0,1315.0,10491800
2022-07-14,1315.0,1395.0,1260.0,1385.0,1385.0,19125100
2022-07-15,1390.0,1400.0,1305.0,1380.0,1380.0,12381700
2022-07-18,1380.0,1410.0,1355.0,1400.0,1400.0,9131800
2022-07-19,1405.0,1415.0,1370.0,1375.0,1375.0,9706200
2022-07-20,1375.0,1390.0,1330.0,1365.0,1365.0,11590500
2022-07-21,1365.0,1410.0,1360.0,1410.0,1410.0,8910900
2022-07-22,1410.0,1470.0,1405.0,1450.0,1450.0,15867400
2022-07-25,1470.0,1490.0,1445.0,1455.0,1455.0,9207200
2022-07-26,1455.0,1455.0,1420.0,1425.0,1425.0,6941500
2022-07-27,1420.0,1445.0,1420.0,1425.0,1425.0,7404600
2022-07-28,1425.0,1440.0,1365.0,1440.0,1440.0,10537300
2022-07-29,1445.0,1535.0,1440.0,1505.0,1505.0,14038200
2022-08-01,1505.0,1540.0,1495.0,1495.0,1495.0,9577400
2022-08-02,1510.0,1510.0,1430.0,1500.0,1500.0,6776100
2022-08-03,1505.0,1515.0,1450.0,1480.0,1480.0,4211000
2022-08-04,1485.0,1485.0,1440.0,1455.0,1455.0,4118900
2022-08-05,1455.0,1510.0,1455.0,1490.0,1490.0,8213100
2022-08-08,1500.0,1535.0,1490.0,1505.0,1505.0,6520500
2022-08-09,1510.0,1555.0,1485.0,1490.0,1490.0,6095300
2022-08-10,1490.0,1490.0,1390.0,1490.0,1490.0,6301500
2022-08-11,1495.0,1525.0,1480.0,1505.0,1505.0,7699100
2022-08-12,1510.0,1510.0,1485.0,1505.0,1505.0,4675400
2022-08-15,1505.0,1505.0,1445.0,1450.0,1450.0,4198600
2022-08-16,1440.0,1450.0,1405.0,1410.0,1410.0,4549700
2022-08-18,1410.0,1440.0,1370.0,1425.0,1425.0,7865300
2022-08-19,1425.0,1470.0,1415.0,1460.0,1460.0,8295900
2022-08-22,1460.0,1485.0,1400.0,1425.0,1425.0,4783000
